Métrique,Labels,Unité,Source physique,Appareil source,Chemin complet,Producteur,Intervalle redb,Consommateurs,Notes
bms_voltage,bms_id,V,RS485 /dev/ttyUSB0,Daly BMS 0x01 (360Ah) / 0x02 (320Ah),RS485 cmd 0x90 → BmsSnapshot.dc.voltage → state.on_bms_snapshot() → write_bms(),daly-bms-server,5s,Grafana grafana-ess_dashboard.json (Tension BMS-1 / BMS-2 / Tensions DC) | Dashboard /dashboard/visualization,Tension pack
bms_current,bms_id,A,RS485 /dev/ttyUSB0,Daly BMS 0x01 / 0x02,RS485 cmd 0x90 → BmsSnapshot.dc.current → write_bms(),daly-bms-server,5s,Grafana grafana-ess_dashboard.json (Courant Batteries) | Dashboard /dashboard/visualization,+ charge / - décharge
bms_soc,bms_id,%,RS485 /dev/ttyUSB0,Daly BMS 0x01 / 0x02,RS485 cmd 0x90 → BmsSnapshot.soc → write_bms(),daly-bms-server,5s,Grafana grafana-ess_dashboard.json (SOC BMS-1 / SOC BMS-2 / SOC Historique) | API /api/v1/chart/history | Dashboard /dashboard/history,État de charge
bms_power,bms_id,W,RS485 /dev/ttyUSB0,Daly BMS 0x01 / 0x02,RS485 cmd 0x90 → BmsSnapshot.dc.power → write_bms(),daly-bms-server,5s,aucun consommateur (orphelin),Puissance DC — non utilisée actuellement
bms_temp_max,bms_id,°C,RS485 /dev/ttyUSB0,Daly BMS 0x01 / 0x02,RS485 cmd 0x92 → BmsSnapshot.system.max_cell_temperature → write_bms(),daly-bms-server,60s,Grafana grafana-ess_dashboard.json (Température Batterie max / Températures),Température cellule max
bms_temp_min,bms_id,°C,RS485 /dev/ttyUSB0,Daly BMS 0x01 / 0x02,RS485 cmd 0x92 → BmsSnapshot.system.min_cell_temperature → write_bms(),daly-bms-server,60s,aucun consommateur (orphelin),Température cellule min
bms_cell_delta_mv,bms_id,mV,RS485 /dev/ttyUSB0,Daly BMS 0x01 / 0x02,RS485 cmds 0x91+0x92 → BmsSnapshot.system.cell_delta_mv() → write_bms(),daly-bms-server,5s,Grafana grafana-ess_dashboard.json (Delta Cellules max),Delta tension cellule max-min
bms_capacity_ah,bms_id,Ah,Config,Config.toml [bms.devices],Config BmsDevice.installed_capacity → BmsSnapshot.installed_capacity → write_bms(),daly-bms-server,30s,Dashboard /dashboard (index.html) | Dashboard /dashboard/bms/:id,Capacité nominale installée (statique)
bms_charge_mos,bms_id,0/1,RS485 /dev/ttyUSB0,Daly BMS 0x01 / 0x02,RS485 cmd 0x94 → BmsSnapshot.io.allow_to_charge → write_bms(),daly-bms-server,5s,aucun consommateur (orphelin),Proxy MOSFET charge — non graphé
bms_discharge_mos,bms_id,0/1,RS485 /dev/ttyUSB0,Daly BMS 0x01 / 0x02,RS485 cmd 0x94 → BmsSnapshot.io.allow_to_discharge → write_bms(),daly-bms-server,5s,aucun consommateur (orphelin),Proxy MOSFET décharge — non graphé
bms_cell_voltage,bms_id + cell,V,RS485 /dev/ttyUSB0,Daly BMS 0x01 / 0x02,RS485 cmd 0x91 → BmsSnapshot.voltages[cell] → write_bms(),daly-bms-server,5s,aucun consommateur (orphelin — données disponibles via API /api/v1/bms/:id/cells temps réel),Tension par cellule (haute cardinalité)
et112_power_w,address,W,RS485 /dev/ttyUSB0,ET112 0x07 (micro-ond) / 0x08 (PAC) / 0x09 (réseau),RS485 Modbus → Et112Snapshot.power_w → write_et112(),daly-bms-server,5s,Grafana grafana-ess_dashboard.json (Solaire Total 0x07 / Consommation Maison 0x08 / Réseau 0x09 / Flux de Puissance) | Grafana grafana-solar_pv_dashboard.json (PV Puissance temps réel) | API /api/v1/chart/history | API /api/v1/history/energy | Dashboard /dashboard/visualization,Puissance active
et112_voltage_v,address,V,RS485 /dev/ttyUSB0,ET112 0x07 / 0x08 / 0x09,RS485 Modbus → Et112Snapshot.voltage_v → write_et112(),daly-bms-server,5s,Grafana grafana-ess_dashboard.json (Tension Réseau),Tension L1
et112_current_a,address,A,RS485 /dev/ttyUSB0,ET112 0x07 / 0x08 / 0x09,RS485 Modbus → Et112Snapshot.current_a → write_et112(),daly-bms-server,5s,API /api/v1/chart/edge-history,Courant L1
et112_apparent_power_va,address,VA,RS485 /dev/ttyUSB0,ET112 0x07 / 0x08 / 0x09,RS485 Modbus → Et112Snapshot.apparent_power_va → write_et112(),daly-bms-server,5s,aucun consommateur (orphelin),Puissance apparente
et112_power_factor,address,,RS485 /dev/ttyUSB0,ET112 0x07 / 0x08 / 0x09,RS485 Modbus → Et112Snapshot.power_factor → write_et112(),daly-bms-server,5s,aucun consommateur (orphelin),Facteur de puissance
et112_frequency_hz,address,Hz,RS485 /dev/ttyUSB0,ET112 0x07 / 0x08 / 0x09,RS485 Modbus → Et112Snapshot.frequency_hz → write_et112(),daly-bms-server,5s,Grafana grafana-ess_dashboard.json (Fréquence Réseau),Fréquence réseau
et112_energy_import_wh,address,Wh,RS485 /dev/ttyUSB0,ET112 0x07 / 0x08 / 0x09,RS485 Modbus → Et112Snapshot.energy_import_kwh() × 1000 → write_et112(),daly-bms-server,30s,Grafana grafana-ess_dashboard.json (Bilan Journalier) | Grafana grafana-solar_pv_dashboard.json (Énergies Jour/Mois / Yield / Consommation / Bilan énergétique) | API /api/v1/history/energy,Énergie cumulée importée
et112_energy_export_wh,address,Wh,RS485 /dev/ttyUSB0,ET112 0x07 / 0x08 / 0x09,RS485 Modbus → Et112Snapshot.energy_export_kwh() × 1000 → write_et112(),daly-bms-server,30s,Grafana grafana-ess_dashboard.json (Export Réseau Aujourd'hui) | Grafana grafana-solar_pv_dashboard.json (Énergies / Yield / Bilan énergétique) | API /api/v1/history/energy,Énergie cumulée exportée
irradiance_wm2,,W/m²,RS485 /dev/ttyUSB0,PRALRAN capteur (addr 0x05),RS485 → IrradianceSnapshot.irradiance_wm2 → write_irradiance(),daly-bms-server,5s,Grafana grafana-ess_dashboard.json (Irradiance W/m² / Détail Production Solaire) | API /api/v1/irradiance/status | Dashboard /dashboard/visualization,Irradiance solaire directe
venus_mppt_power_w,instance,W,Victron VenusOS D-Bus,MPPT SolarCharger inst.273 / inst.289,VenusOS D-Bus → NanoPi → N/{pid}/solarcharger/{id}/Yield/Power → Pi5 → energy-manager solar_power → santuario/meteo/venus → daly-bms-server handle_meteo_topic() → write_venus_mppt(),daly-bms-server,5s,Grafana grafana-ess_dashboard.json (MPPT 1 inst 273 / MPPT 2 inst 289 / Détail Production Solaire),Puissance DC sortie MPPT
venus_mppt_yield_today_kwh,instance,kWh,Victron VenusOS D-Bus,MPPT SolarCharger inst.273 / inst.289,VenusOS D-Bus → NanoPi → N/{pid}/solarcharger/{id}/History/Daily/0/Yield → energy-manager → santuario/meteo/venus → write_venus_mppt(),daly-bms-server,30s,Grafana grafana-ess_dashboard.json (Yield MPPT Aujourd'hui),Production journalière par MPPT (reset minuit)
venus_mppt_max_power_today_w,instance,W,Victron VenusOS D-Bus,MPPT SolarCharger inst.273 / inst.289,VenusOS D-Bus → NanoPi → N/{pid}/solarcharger/{id}/History/Daily/0/MaxPower → energy-manager → santuario/meteo/venus → write_venus_mppt(),daly-bms-server,5s,Grafana grafana-ess_dashboard.json (Pic Puissance Aujourd'hui),Pic puissance du jour par MPPT
venus_mppt_pv_voltage_v,instance,V,Victron VenusOS D-Bus,MPPT SolarCharger inst.273 / inst.289,VenusOS D-Bus → NanoPi → N/{pid}/solarcharger/{id}/Pv/V → energy-manager → santuario/meteo/venus → write_venus_mppt(),daly-bms-server,5s,aucun consommateur (orphelin — affiché temps réel via API venus/mppt),Tension panneau PV
venus_mppt_dc_current_a,instance,A,Victron VenusOS D-Bus,MPPT SolarCharger inst.273 / inst.289,VenusOS D-Bus → NanoPi → N/{pid}/solarcharger/{id}/Dc/0/Current → energy-manager → santuario/meteo/venus → write_venus_mppt(),daly-bms-server,5s,aucun consommateur (orphelin),Courant DC vers batterie
venus_shunt_soc_percent,,%,Victron VenusOS D-Bus,SmartShunt,VenusOS D-Bus → NanoPi → N/{pid}/battery/{shunt}/Soc → energy-manager smartshunt → santuario/system/venus → write_venus_smartshunt(),daly-bms-server,5s,Grafana grafana-ess_dashboard.json (SOC Batterie / SOC Historique),SOC SmartShunt
venus_shunt_voltage_v,,V,Victron VenusOS D-Bus,SmartShunt,VenusOS D-Bus → NanoPi → N/{pid}/battery/{shunt}/Dc/0/Voltage → energy-manager → santuario/system/venus → write_venus_smartshunt(),daly-bms-server,5s,aucun consommateur (orphelin),Tension DC batterie (SmartShunt)
venus_shunt_current_a,,A,Victron VenusOS D-Bus,SmartShunt,VenusOS D-Bus → NanoPi → N/{pid}/battery/{shunt}/Dc/0/Current → energy-manager → santuario/system/venus → write_venus_smartshunt(),daly-bms-server,5s,Grafana grafana-ess_dashboard.json (Courant Batteries / Taux Cyclage 24h) | API /api/v1/chart/edge-history | Dashboard /dashboard/visualization,Courant DC batterie
venus_shunt_power_w,,W,Victron VenusOS D-Bus,SmartShunt,VenusOS D-Bus → NanoPi → N/{pid}/battery/{shunt}/Dc/0/Power → energy-manager → santuario/system/venus → write_venus_smartshunt(),daly-bms-server,5s,Grafana grafana-ess_dashboard.json (Batterie + charge / Flux de Puissance),Puissance DC batterie
venus_shunt_energy_in_kwh,,kWh,Victron VenusOS D-Bus,SmartShunt,VenusOS D-Bus → NanoPi → N/{pid}/battery/+/History/ChargedEnergy → energy-manager → santuario/system/venus → write_venus_smartshunt(),daly-bms-server,30s,aucun consommateur (orphelin),Énergie totale chargée cumulée
venus_shunt_energy_out_kwh,,kWh,Victron VenusOS D-Bus,SmartShunt,VenusOS D-Bus → NanoPi → N/{pid}/battery/+/History/DischargedEnergy → energy-manager → santuario/system/venus → write_venus_smartshunt(),daly-bms-server,30s,aucun consommateur (orphelin),Énergie totale déchargée cumulée
